類別名稱,類別特色,用途,消費族群
集盛實業,細丹尼,強度高，縮率低，縮率波動範圍小,"針織用布、羽絨服、絲襪、襪子、
女裝、休閒服、運動服、雨傘",青少年、成年人,
,粗丹尼,併線性良好、強度大、且細度斑少,旅行箱、帳篷、背包,成年人
 ,環保系列,降低塑料廢棄物,運動服、POLO衫、泳衣,青少年
,機能性紗線,走向永續，生物降解、降低環境衝擊、循環再生環保素材,貼身衣物、運動服、POLO衫、絲襪、袖套、寢具,成年人、青少年
紡安,吸濕排汗,吸濕快乾型紗,外出服、休閒服、運動服,青少年、成年人
,超粗丹尼,毛感多色調、粗重紗,針織布、線衫、纜繩、粗厚布,老年人
,功能性紗,難燃 、吸濕排汗、抗UV雙效、難燃雙功能、抗UV、漂白、抗紫外線、價廉,傢飾布、睡衣、外出服、休閒服、夾克、羽毛護布、窗簾、帳蓬、洋傘,青少年、成年人
,異色調複合紗,布面麻花效果 條紋效果,衣料、褲料、外出服,青少年、成年人
,變化紗,變化色澤及立體感、可具深中淺、變化色調、布面浮點變化、毛感及異色調、染後呈現竹節狀,外出服、休閒服、衣料、褲料、西服、套裝類、女裝,青少年、成年人
,麻調紗,麻調紗、多色麻感、織物點狀多孔,女裝、外出服、休閒服,青少年、成年人：：
,花式紗,花式紗外觀花式紗外觀長短纖複合,針織布、線衫,老年人
,特殊短纖紗,純棉細支紗,"	高級襯衫、衣料",老年人、成年人
,阻燃紗,"具難燃效果,不會產生毒氣、抗電",防火衣(消防衣),軍警
,龍紋紗,高回復性、耐高溫染色、手感佳,平織、經編,老人
遠東新世紀,天然棉紗,自然涼感、納米原纖技術、卓越吸濕功能、抑制細菌生長、絕佳親膚性,休閒服、內衣、運動服,青少年、成年人
,蘭精木代爾,特柔軟、高度亮麗,內褲、內衣、睡衣,青少年、成年人、老年人
,環保短性短纖紗,柔軟豐富的手感、保型性、回彈性佳、豐富手感,休閒服、睡衣,青少年、成年人、老年人
,回收寶特瓶紗,品質穩定防地球暖化,皮革類,青少年、成年人、老年人
,凹道凹槽機能纖維,十字斷面、質輕乾爽、容易清洗、吸濕排汗,運動服、休閒服,青少年
,outlast,輕便保暖，熱能調節、緩衝過熱、減少排汗、防凍保護,衣料、外出服,青少年、成年人、老年人
,保緩紗,柔軟彈性、輕盈保暖、透氣乾爽、天然本質、清洗簡便,外出服 、外套 、休閒服、 襪子,成年人、老年人
,難燃紗,防水性佳、高安全性、效果持久,防火衣 消防衣,軍警
,咖啡炭-寒冬的保緩纖維,抗菌除臭、活力負離子、蓄熱保溫、低碳環保,襪子、貼身衣物、 內褲,青少年、成年人、老年人
,Technical竹節紗,多樣粗細效果、客製化、可預先模擬效果,衣服、外套,青少年、成年人、老年人
,包蕊紗,強力佳、OP牽伸控制精準、布面品質佳,針織,青少年、成年人
,花雪紗,低毛羽、高強力、麻花染色效果,緞帶,青少年
聚隆纖維,機能性布料-冰晶系列,舒適、柔軟、天然、無毒與人造纖維結合,春夏季襯衫、長短褲、運動服飾、帽子、運動襪、絲襪、地毯、壁布,青少年、成年人、老年人
,機能性布料-抗電系列,不吸水的特性,工作衣、內衣、防爆服,軍警
,機能性布料-排汗系列,易洗快乾、高吸濕性能、纖維不易變形,運動服、休閒衫、襯衫、護具,軍警、成年人、青少年
,機能性布料-蓄熱保溫系列,益菌除臭、釋放負離子、遠紅外線,帽子、手套、襯衫、運動服、休閒衫、桌巾、毛巾、浴巾、床墊、手提袋、登山、運動,成年人、老年人
,機能性布料-極超細系列,免用清潔劑、不易掉棉絮、具有輕柔手感、亮麗、蓬鬆感、極佳透濕及透氣性,桃皮布、仿苔布、高級服飾、外套,成年人、老年人
,樂活氧氣紗-保暖,保暖、遠紅外線效果,上衣、戶外衣著、手套、帽子、內衣褲,青少年、成年人、老年人
,抑菌紗,具有抗藥性,內衣、泳衣、衣料,青少年
,混色紗,色彩多變豐富、衣料觸感柔軟、布面組織活潑化,針織、平織、其他加工、運動衣、內衣褲、護具、緊身衣,青少年、成年人、老年人
,聚酯纖維-聚酯假撚絲,用於高級衣料極花紗用途,大衣、風衣、夾克、女裝、內衣褲,青少年、成年人
